age_d;age_h;T;H_a;Cpm;psi_x;rho
3;8;14;65;0.0531697341513297;-3.94331395348838;352.564432037023
3;9;16;61;0.177021792543947;-6.02920999999732;352.303214264995
3;10;17.7;61;0.292433537832311;-7.97295567804288;352.041996492967
3;11;18.5;49;0.391539850301947;-9.64208793185788;351.780778720939
3;12;19.1;47;0.467586798538975;-10.9228581567163;351.519560948911
3;13;18.7;46;0.515391908694564;-11.7279839783668;351.258343176882
3;14;18.5;47;0.531697341513292;-12.0025974025974;350.997125404854
3;15;18.4;45;0.515391908694564;-11.7279839783668;350.735907632826
3;16;17.4;49;0.467586798538975;-10.9228581567163;350.474689860798
3;17;16.5;50;0.391539850301947;-9.64208793185787;350.21347208877
3;18;15.6;57;0.292433537832311;-7.97295567804289;349.952254316741
3;19;14.7;64;0.177021792543947;-6.02920999999733;349.691036544713
3;20;12.8;82;0.0531697341513292;-3.94331395348837;349.429818772685
3;21;12.2;85;0.0531697341513292;-3.94331395348837;349.168601000657
3;22;12.2;86;0.0531697341513292;-3.94331395348837;348.907383228629
3;23;12.2;85;0.0531697341513292;-3.94331395348837;348.6461654566
3;24;12;85;0.0531697341513292;-3.94331395348837;348.384947684572
4;1;11.5;90;0.0531697341513292;-3.94331395348837;348.123729912544
4;2;11;93;0.0531697341513292;-3.94331395348837;347.862512140516
4;3;11.5;97;0.0531697341513292;-3.94331395348837;347.601294368488
4;4;11.5;98;0.0531697341513292;-3.94331395348837;347.34007659646
4;5;11.4;99;0.0531697341513292;-3.94331395348837;347.078858824431
4;6;10.7;100;0.0531697341513292;-3.94331395348837;346.817641052403
4;7;12;100;0.0531697341513292;-3.94331395348837;346.556423280375
4;8;14.7;76;0.0531697341513292;-3.94331395348837;346.295205508347
4;9;15.6;71;0.177021792543947;-6.02920999999732;346.033987736319
4;10;16.8;58;0.292433537832312;-7.9729556780429;345.77276996429
4;11;18.3;51;0.391539850301946;-9.64208793185786;345.511552192262
4;12;19.2;48;0.467586798538975;-10.9228581567163;345.250334420234
4;13;18.8;51;0.515391908694565;-11.7279839783668;344.989116648206
4;14;20.5;43;0.531697341513292;-12.0025974025974;344.727898876178
4;15;18.7;48;0.515391908694564;-11.7279839783668;344.46668110415
4;16;17.4;52;0.467586798538974;-10.9228581567163;344.205463332121
4;17;17.2;56;0.391539850301948;-9.64208793185789;343.944245560093
4;18;15.8;61;0.292433537832311;-7.97295567804289;343.683027788065
4;19;14.4;69;0.177021792543945;-6.0292099999973;343.421810016037
4;20;13.9;72;0.0531697341513299;-3.94331395348838;343.160592244009
4;21;14.3;68;0.0531697341513292;-3.94331395348837;342.89937447198
4;22;14;72;0.0531697341513292;-3.94331395348837;342.638156699952
4;23;12.8;82;0.0531697341513292;-3.94331395348837;342.376938927924
4;24;12.4;91;0.0531697341513292;-3.94331395348837;342.115721155896
5;1;12;98;0.0531697341513292;-3.94331395348837;341.854503383868
5;2;11.8;100;0.0531697341513292;-3.94331395348837;341.593285611839
5;3;11.8;100;0.0531697341513292;-3.94331395348837;341.332067839811
5;4;11.7;100;0.0531697341513292;-3.94331395348837;341.070850067783
5;5;11.7;100;0.0531697341513292;-3.94331395348837;340.809632295755
5;6;11.8;100;0.0531697341513292;-3.94331395348837;340.548414523727
5;7;12.7;97;0.0531697341513292;-3.94331395348837;340.287196751699
5;8;13;88;0.0531697341513292;-3.94331395348837;340.02597897967
5;9;13.9;89;0.177021792543947;-6.02920999999732;339.764761207642
5;10;14.1;80;0.292433537832312;-7.9729556780429;339.503543435614
5;11;15.1;75;0.391539850301946;-9.64208793185786;339.242325663586
5;12;16.4;62;0.467586798538975;-10.9228581567163;338.981107891558
5;13;15.4;61;0.515391908694565;-11.7279839783668;338.719890119529
5;14;15;67;0.531697341513292;-12.0025974025974;338.458672347501
5;15;14.6;70;0.515391908694564;-11.7279839783668;338.197454575473
5;16;14.2;67;0.467586798538974;-10.9228581567163;337.936236803445
5;17;14;66;0.391539850301948;-9.64208793185789;337.675019031417
5;18;13.1;67;0.292433537832311;-7.97295567804289;337.413801259388
5;19;11.9;72;0.177021792543945;-6.0292099999973;337.15258348736
5;20;10.7;73;0.0531697341513299;-3.94331395348838;336.891365715332
5;21;10;75;0.0531697341513292;-3.94331395348837;336.630147943304
5;22;9.6;75;0.0531697341513292;-3.94331395348837;336.368930171276
5;23;8.5;74;0.0531697341513292;-3.94331395348837;336.107712399247
5;24;8.3;74;0.0531697341513292;-3.94331395348837;335.846494627219
6;1;7.7;79;0.0531697341513292;-3.94331395348837;335.585276855191
6;2;7.5;74;0.0531697341513292;-3.94331395348837;335.324059083163
6;3;6.6;71;0.0531697341513292;-3.94331395348837;335.062841311135
6;4;6;71;0.0531697341513292;-3.94331395348837;334.801623539107
6;5;5.8;73;0.0531697341513292;-3.94331395348837;334.540405767078
6;6;6;71;0.0531697341513292;-3.94331395348837;334.27918799505
6;7;6.3;70;0.0531697341513292;-3.94331395348837;334.017970223022
6;8;7.6;65;0.0531697341513292;-3.94331395348837;333.756752450994
6;9;8.7;61;0.177021792543947;-6.02920999999732;333.495534678966
6;10;10;44;0.292433537832312;-7.9729556780429;333.234316906937
6;11;10.6;41;0.391539850301946;-9.64208793185786;332.973099134909
6;12;10;42;0.467586798538975;-10.9228581567163;332.711881362881
6;13;10.7;37;0.515391908694565;-11.7279839783668;332.450663590853
6;14;12;37;0.531697341513292;-12.0025974025974;332.189445818825
6;15;10.4;39;0.515391908694564;-11.7279839783668;331.928228046797
6;16;9;40;0.467586798538974;-10.9228581567163;331.667010274768
6;17;9;43;0.391539850301948;-9.64208793185789;331.40579250274
6;18;8.5;44;0.292433537832311;-7.97295567804289;331.144574730712
6;19;7.9;46;0.177021792543945;-6.0292099999973;330.883356958684
6;20;6.9;51;0.0531697341513299;-3.94331395348838;330.622139186656
6;21;6.5;53;0.0531697341513292;-3.94331395348837;330.360921414627
6;22;6.5;55;0.0531697341513292;-3.94331395348837;330.099703642599
6;23;6.7;64;0.0531697341513292;-3.94331395348837;329.838485870571
6;24;6.5;67;0.0531697341513292;-3.94331395348837;329.577268098543
7;1;6.6;65;0.0531697341513292;-3.94331395348837;329.316050326515
7;2;6.1;68;0.0531697341513292;-3.94331395348837;329.054832554486
7;3;4.5;79;0.0531697341513292;-3.94331395348837;328.793614782458
7;4;4.2;75;0.0531697341513292;-3.94331395348837;328.53239701043
7;5;4.6;69;0.0531697341513292;-3.94331395348837;328.271179238402
7;6;5.5;70;0.0531697341513292;-3.94331395348837;328.009961466374
7;7;6.3;61;0.0531697341513292;-3.94331395348837;327.748743694346
7;8;7.2;53;0.0531697341513292;-3.94331395348837;327.487525922317
7;9;8.2;46;0.177021792543947;-6.02920999999732;327.226308150289
7;10;8.2;48;0.292433537832312;-7.9729556780429;326.965090378261
7;11;9.8;40;0.391539850301946;-9.64208793185786;326.703872606233
7;12;10.4;40;0.467586798538975;-10.9228581567163;326.442654834205
7;13;11.7;43;0.515391908694565;-11.7279839783668;326.181437062176
7;14;12.2;34;0.531697341513292;-12.0025974025974;325.920219290148
7;15;12.4;34;0.515391908694564;-11.7279839783668;325.65900151812
7;16;12.7;35;0.467586798538974;-10.9228581567163;325.397783746092
7;17;12.3;34;0.391539850301948;-9.64208793185789;325.136565974064
7;18;11.1;39;0.292433537832311;-7.97295567804289;324.875348202035
