age_d;age_h;pip;piv;pp;pv;sfstone;af;ctcs;pif;tf;cv;ua;ux1;up1;khx;khp;ux;up;masfls;pasfls;rM;rG;w;s;pf1;pf2;pf;v;dD;mSol;mSta;mSyn
2;15;25.121;25.121;13.393;13.393;0.0000;0.56042;0.00024947;11.795;0.0021569;0.17642;0.00013607;0.0000;0.0000;0.00016563;2.1801e-05;1.1072e-05;1.4574e-06;0.0000;9.2866e-08;1.8155e-06;1.4394e-05;0.030911;0.011572;0.82844;0.0000;0.0000;0.038143;-7.6958;0.00055523;0.00010255;0.0045223
2;16;24.004;24.004;13.081;13.081;0.0000;0.54172;0.00025951;12.068;0.0024551;0.16005;0.00013317;0.0000;0.0000;0.00016010;2.1074e-05;0.00018335;2.4133e-05;0.0000;7.7365e-08;1.9937e-06;1.4063e-05;0.028724;0.011690;0.81584;0.0000;0.0000;0.036031;-8.5854;0.00053671;0.00010249;0.0045909
2;17;22.099;22.099;12.457;12.457;0.0000;0.52499;0.00027200;12.348;0.0021318;0.13402;0.00012626;0.0000;0.0000;0.00015516;2.0423e-05;0.00041977;5.5253e-05;0.0000;5.6268e-08;1.8640e-06;1.3334e-05;0.026788;0.011805;0.84397;0.0000;0.0000;0.034166;-9.4771;0.00052463;0.00010242;0.0046511
2;18;19.633;19.633;11.660;11.660;0.0000;0.51457;0.00028251;12.562;0.0016257;0.10010;0.00011303;0.0000;0.0000;0.00015208;2.0018e-05;0.00069790;9.1862e-05;0.0000;3.1930e-08;1.6755e-06;1.1934e-05;0.025562;0.011910;0.89071;0.0000;0.0000;0.033006;-10.306;0.00051995;0.00010234;0.0047004
2;19;16.786;16.786;10.756;10.756;0.0000;0.51199;0.00028862;12.639;0.0010171;0.060595;8.8275e-05;0.0000;0.0000;0.00015132;1.9917e-05;0.00085658;0.00011275;0.0000;5.5751e-09;1.3924e-06;9.3095e-06;0.025197;0.012000;0.94852;0.99029;0.94852;0.032697;-11.035;0.00052362;0.00010227;0.0047345
2;20;13.804;13.804;9.8609;9.8609;0.0000;0.51443;0.00029193;12.696;0.00089936;0.018200;3.8132e-05;0.0000;0.0000;0.00015204;2.0012e-05;0.0011822;0.00015561;0.0000;-2.2263e-08;1.3206e-06;3.9417e-06;0.025399;0.012058;0.97697;3.6631;0.97697;0.032935;-11.683;0.00053386;0.00010220;0.0047487
2;21;13.801;13.801;9.8578;9.8578;0.0000;0.51867;0.00029245;12.692;0.00094787;0.018200;3.8223e-05;0.0000;0.0000;0.00015329;2.0177e-05;0.0011917;0.00015686;0.0000;-2.2508e-08;1.2660e-06;3.9573e-06;0.025821;0.012091;0.97426;3.4209;0.97426;0.033378;-12.298;0.00054371;0.00010213;0.0047528
2;22;13.798;13.798;9.8543;9.8543;0.0000;0.52281;0.00029305;12.686;0.00094015;0.018200;3.8316e-05;0.0000;0.0000;0.00015451;2.0338e-05;0.0012003;0.00015799;0.0000;-2.2759e-08;1.2059e-06;3.9736e-06;0.026234;0.012124;0.97499;3.5024;0.97499;0.033811;-12.881;0.00055352;0.00010207;0.0047569
2;23;13.794;13.794;9.8503;9.8503;0.0000;0.52743;0.00029303;12.664;0.00085936;0.018200;3.8408e-05;0.0000;0.0000;0.00015588;2.0518e-05;0.0012066;0.00015882;0.0000;-2.2957e-08;1.1414e-06;3.9904e-06;0.026700;0.012157;0.97990;3.9842;0.97990;0.034298;-13.429;0.00056331;0.00010201;0.0047612
2;24;13.792;13.792;9.8485;9.8485;0.0000;0.53271;0.00029218;12.634;0.00080455;0.018200;3.8501e-05;0.0000;0.0000;0.00015744;2.0723e-05;0.0012135;0.00015973;0.0000;-2.3085e-08;1.1155e-06;4.0031e-06;0.027241;0.012190;0.98309;4.3093;0.98309;0.034859;-13.950;0.00057306;0.00010195;0.0047655
3;1;13.786;13.786;9.8423;9.8423;0.0000;0.53927;0.00028988;12.546;0.00058734;0.018200;3.8594e-05;0.0000;0.0000;0.00015938;2.0979e-05;0.0012125;0.00015959;0.0000;-2.3087e-08;1.0224e-06;4.0231e-06;0.027923;0.012224;0.99492;5.4789;0.99492;0.035563;-14.433;0.00058278;0.00010189;0.0047699
3;2;13.780;13.780;9.8370;9.8370;0.0000;0.54779;0.00028547;12.413;0.00035753;0.018200;3.8688e-05;0.0000;0.0000;0.00016190;2.1310e-05;0.0012083;0.00015905;0.0000;-2.2905e-08;9.4922e-07;4.0410e-06;0.028825;0.012257;1.0064;6.6496;1.0064;0.036486;-14.863;0.00059247;0.00010183;0.0047744
3;3;13.783;13.783;9.8392;9.8392;0.0000;0.55710;0.00028043;12.306;0.00039393;0.018200;3.8782e-05;0.0000;0.0000;0.00016465;2.1672e-05;0.0012118;0.00015950;0.0000;-2.2657e-08;9.8288e-07;4.0474e-06;0.029822;0.012291;1.0031;6.3780;1.0031;0.037504;-15.277;0.00060213;0.00010178;0.0047790
3;4;13.780;13.780;9.8370;9.8370;0.0000;0.56648;0.00027554;12.180;0.00032723;0.018200;3.8876e-05;0.0000;0.0000;0.00016742;2.2037e-05;0.0012107;0.00015936;0.0000;-2.2411e-08;9.5445e-07;4.0606e-06;0.030835;0.012325;1.0051;6.6367;1.0051;0.038538;-15.692;0.00061175;0.00010173;0.0047837
3;5;13.779;13.779;9.8361;9.8361;0.0000;0.57626;0.00027051;12.057;0.00028704;0.018200;3.8970e-05;0.0000;0.0000;0.00017031;2.2418e-05;0.0012106;0.00015934;0.0000;-2.2140e-08;9.4487e-07;4.0717e-06;0.031901;0.012359;1.0056;6.7498;1.0056;0.039625;-16.092;0.00062133;0.00010168;0.0047884
3;6;13.783;13.783;9.8392;9.8392;0.0000;0.58581;0.00026592;11.965;0.00036887;0.018200;3.9064e-05;0.0000;0.0000;0.00017313;2.2789e-05;0.0012156;0.00016000;0.0000;-2.1897e-08;9.9100e-07;4.0769e-06;0.032949;0.012393;1.0003;6.2624;1.0003;0.040695;-16.502;0.00063087;0.00010163;0.0047932
3;7;13.789;13.789;9.8454;9.8454;0.0000;0.59424;0.00026253;11.915;0.00054686;0.018200;3.9159e-05;0.0000;0.0000;0.00017562;2.3117e-05;0.0012260;0.00016138;0.0000;-2.1755e-08;1.0871e-06;4.0768e-06;0.033878;0.012427;0.99085;5.3427;0.99085;0.041644;-16.956;0.00064036;0.00010159;0.0047980
3;8;13.799;13.799;9.8560;9.8560;0.0000;0.60026;0.00026133;11.939;0.00095558;0.018200;3.9253e-05;0.0000;0.0000;0.00017740;2.3351e-05;0.0012461;0.00016402;0.0000;-2.1812e-08;1.2717e-06;4.0671e-06;0.034536;0.012460;0.97138;3.3571;0.97138;0.042323;-17.490;0.00064981;0.00010154;0.0048029
3;9;16.786;16.786;10.756;10.756;0.0000;0.60226;0.00026315;12.026;0.0011841;0.060595;9.1690e-05;0.0000;0.0000;0.00017799;2.3429e-05;0.00099597;0.00013110;0.0000;1.0038e-08;1.4528e-06;9.6693e-06;0.034706;0.012520;0.94278;0.40130;0.40130;0.042531;-18.115;0.00065755;0.00010150;0.0048205
3;10;19.601;19.601;11.628;11.628;0.0000;0.60112;0.00026361;12.074;0.0012885;0.10010;0.00011909;0.0000;0.0000;0.00017766;2.3385e-05;0.00072866;9.5911e-05;0.0000;3.9878e-08;1.6324e-06;1.2589e-05;0.034481;0.012614;0.92011;0.0000;0.0000;0.042365;-18.817;0.00065444;0.00010146;0.0048631
3;11;22.024;22.024;12.382;12.382;0.0000;0.59473;0.00026476;12.120;0.0017398;0.13402;0.00013533;0.0000;0.0000;0.00017577;2.3136e-05;0.00043553;5.7327e-05;0.0000;6.4720e-08;1.7338e-06;1.4321e-05;0.033634;0.012727;0.88178;0.0000;0.0000;0.041588;-19.571;0.00064117;0.00010142;0.0049237
3;12;23.891;23.891;12.968;12.968;0.0000;0.58352;0.00026811;12.214;0.0018285;0.16005;0.00014544;0.0000;0.0000;0.00017246;2.2700e-05;0.00022273;2.9318e-05;0.0000;8.2195e-08;1.8194e-06;1.5397e-05;0.032231;0.012851;0.86341;0.0000;0.0000;0.040262;-20.354;0.00062217;0.00010138;0.0049949
